objectid,filename,youtubeid,title,creator,autor,date,description,subject,location,tecnica,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,,,
demo_001,demo_001.gif,,Reescribiendo la historia,Pedro Alcántara Quijano;Julián Rubiano Chaves;Simón José Cárdenas;Lemercier Imp.,Gabriela Jaimes,1878;1920;1944,"El gif reinterpreta la firma del acta de la independencia, teniendo a Policarpa como protagonista representando a todas las mujeres que fueron parte de esta revolución. Pero, que no se tuvieron en cuenta a la hora de firmar dicha acta. En el gif se escriben los nombres de muchas de ellas reivindicando su participación en este importante acontecimiento de nuestro país. ",independencias;proceso independentista;contexto neogranadino;experiencias políticas;actores diversos;exclusiones,"París, Francia",óleo;litografía,48.864716,2.349014,Museo de la Independencia - Casa del Florero,Reg. 22 / Reg. 51,Image;MovingImage,image/gif,Español,"Jaimes Vargas, G. (2024). Reescribiendo la historia [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/MUSEOGIF/",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3431,,,
demo_251-2,demo_251-2.gif,,Fuego de la libertad ,Inés Acevedo Biester,Juan Felipe Beltrán Huertas,,"El gif reinterpreta la pintura Juramento del Acta, mostrando cómo al caer una vela se enciende el mapa de Colombia. El fuego simboliza la lucha y el origen del país, reforzado con la frase final: “Colombia nació del fuego de la libertad”, que representa cómo la independencia surgió de la pasión y el deseo de libertad del pueblo.",independencias;proceso independentista;exclusiones;siglo xx,"París, Francia",óleo,48.864716,2.349014,Museo de la independecia - Casa del florero  ,Registro 75,Image;MovingImage,image/gif,N/A,"Beltrán Huertas,J .(2025). Fuego de la libertad [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_251-2",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3432,,,
demo_251-4,demo_251-4.gif,,Su memoria sigue viva ,Forensic architecture;Comisión de la verdad de Colombia,Sofia Isabel Bustos Valderrama,2021,"El gif es una representacion de todo el fuego y momentos oscuros que se vivieron durante la toma del palacio de justicia, a traves de la impresion 3d que realiza Forensic architecture se puede evidenciar que habian diferentes personajes en este evento, como guerrilleros, militares, civiles y desaparecidos. Hoy en día, aun no se ha recibido respuesta del gobierno acerca de los desaparecidos, los familiares aun exigen una respuesta sobre ellos, asimismo los familiares de los desaparecidos realizaron un homenaje de 39 años desde que ocurrio este evento, haciendose sentir y recordandole a los ciudadanos que aunque no hay respuesta sobre los desaparecidos, su memoria sigue y seguira viva para recordar este evento desgarrador en Bogota, Colombia. ",construcción de memoria;reconocimiento de víctimas;violencia;divulgación de la verdad;no repetición;siglo xxi,"Londres, Reino Unido",Impresión 3d,51.5285262,-0.2664054,Museo de la Independencia - Casa del Florero,,Image;MovingImage,image/gif,N/A,"Bustos Valderrama, S. (2025). Su memoria sigue viva [gif]. MUSEOGIF. Recuperado de:https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_251-4",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3433,,,
demo_251-5,demo_251-5.gif,,Cuatro castas,Anónimo,Felipe Córdoba Bejarano,,"El gif muestra las tres castas más comunes en el momento, y de dónde salían los mestizos y los castizos. Dependiendo de la casta, se podría tener más importancia, a pesar que todos sean descendientes o de indios o de españoles. El gif pasa de españoles e indias a mestizos a castizos de vuelta a los  españoles, haciendo un circulo completo. ",construcción de nación;identidad nacional;identidad colectiva;actores diversos;exclusiones;procesos migratorios;siglo xviii,"Tepotzotlán, México",óleo,19.71345858,-99.22179882,Museo de la Independencia - Casa del Florero,PI/0869,Image;MovingImage,image/gif,N/A,"Cordoba Bejarano, F. (2025). Cuatro castas [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_251-5",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3434,,,
demo_251-13,demo_251-13.gif,,Transformaciones del tiempo y la ciudad,Biermann Werner,Simon Ochoa Campos,1949,"Todos somos concientes del paso del tiempo y de las transformaciones del lugar en el que habitamos y crecemos, sin embargo, las casas, catedrales y estructuras del centro de la ciudad son los testigos de primeras mano de la historias de Bogota. Este gif muestra como La Casa Del Florero, guarda en su memoria, los acontecimientos mas importantes de la ciudad y como sus paredes aun resisten a la evolucion de Bogota y los Bogotanos, sobreviviendo no solo al pasar de los años, tambien a los acontecimientos tragicos, como el bogotazo o la toma del palacio de justicia. ",contexto neogranadino;identidad nacional;actores diversos;violencia;experiencias políticas;siglo xx,"Berlín, Alemania",fotografía,52.52437,13.41053,Museo de la independencia - Casa del florero,Reg. 3047.003,Image;MovingImage,image/gif,N/A,"Ochoa Campos, S. (2025). Tranformaciones del tiempo y la ciudad [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_251-13",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3435,,,
demo_251-14,demo_251-14.gif,,El conflicto que definió el futuro,Pedro Alcántara Quijano;Fábrica del Buen Retiro,María Orozco Benitez,1940;1780,"En el gif se representa la escena de la plaza llena de personas, donde Antonio Morales, un criollo, llega a pedirle un florero prestado a Don José González Llorente. Al negarse este, la situación empieza a tensarse. La multitud observa cómo las tensiones crecen, lo que desencadena una disputa entre ambos. La tensión en el aire es palpable, y, en medio del caos, se escucha el grito de ""¡Independencia!"", marcando el inicio de un momento que cambiaría la historia.",independencias;proceso independentista;acción de independencia;movimientos sociales;siglo xx;siglo xviii,"Bogotá, Colombia;España",óleo;cerámica,4.59806,-74.0758,Museo de la independencia - Casa del florero,Resgistro 27,Image;MovingImage,image/gif,N/A,"Orozco Benitez, M. (2025). El conflicto que definio el futuro [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_251-14",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3436,,,
demo_251-19,demo_251-19.gif,,Bogotá en el tiempo,Francisco Castillo,Natalia Sanchez Castañeda,1840,"Esta obra por Francisco Castillo representa la Plaza Bolivar en la época colonial, retratando la importancia de este patrimonio. El gif busca mostrar la transformación de la Plaza Mayor de Bogotá, hasta convertirse en Plaza de Bolívar. Con los elementos de las banderas, la cruz y el dinero, se representa la vida colonial, el comercio y sociedad estratificada y su evolución hacia el centro político y cultural moderno. Con un efecto de pergamino antiguo se hace referencia a un aire histórico, resaltando la transformación arquitectónica y social, conectando el pasado con el presente en un mismo espacio histórico.",construcción de nación;identidad nacional;procesos culturales;siglo xix,"Bogotá, Colombia",óleo,4.59806,-74.0758,Museo de la Independencia – Casa del Florero,Registro 61,Image;MovingImage,image/gif,N/A,"Sánchez Castañeda, N. (2025). Bogota en el Tiempo [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_251-19",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3437,,,
demo_251-20,demo_251-20.gif,,Su voz vive en la historia,Pedro Alcántara Quijano,Laura Sofía Tellez Gaona,1944,"Bajo el arco de piedra, Policarpa Salavarrieta se mantiene firme frente al pelotón. Su vestido azul ondea mientras la multitud observa en silencio. En el momento del disparo, no solo muere una mujer, sino que nace un símbolo de libertad. “Su voz vive en la historia” nos recuerda que su sacrificio sigue inspirando cada vez que hablamos de valentía y patria.",independencias;proceso independentista;acción de independencia;actores diversos;siglo xx,"Bogotá, Colombia",óleo,4.59806,-74.0758,Museo de la Independencia – Casa del Florero,registro 72,Image;MovingImage,image/gif,N/A,Tellez Gaona. L. (2025). Su voz vive en la historia [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_251-20,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3438,,,
demo_251-22,demo_251-22.gif,,¿Qué pasó?,Forensic Architecture;Comisión de la verdad de Colombia,Mateo Arévalo Rodriguez,2021,"La toma de palacio de justicia ha sido una de las grandes investigaciones en Colombia del siglo pasado y del actual. La negligencia policial y militar nos ha creado grandes interrogantes, desde inocentes desaparecidos a muertes sospechosas. Es por eso que el gif pregunta ¿qué pasó realmente?, mientras que un inocente le hace frente al tanque que representa el poderío militar desenfrenado que se vivió. Así como la figura se impone ante este poder, debemos enfrentarnos así a las verdades contadas por los dirigentes para esclarecer una realidad plural y completa . ",identidad nacional;divulgación de la verdad;violencia;construcción de memoria;no repetición;siglo xxi,"Londres, Reino Unido",Impresión 3D,51.5285262,-0.2664054,Museo de la Independencia – Casa del Florero,N/A,Image;MovingImage,image/gif,N/A,Arévalo Rodriguez M. (2025). ¿Qué pasó? [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_251-22,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3439,,, 
demo_251-25,demo_251-25.gif,,La bota perdida de la independencia,Julián Rubiano Chaves ,Andrea Victoria Celedón Pedraza,1878,"Este gif representa la escena que le dio paso al grito de independencia del 20 de julio, aqui se pueden ver dos obras, una de julián Rubiano Chaves y otra de Alcantara Quijano, en la primera se puede ver como no esta terminada la obra ya que un personaje no tiene terminadas los zapatos, estos zapatos se incorporan en la imagen para empezar a darle camino a la segunda obra, donde se puede ver que se pasa por la septima ambientada en estos años y llega a la creación de Alcantara Quijano.   ",proceso independentista;contexto neogranadino;identidad nacional;acción de independencia;siglo xix,"Bogotá, Colombia",óleo,4.59806,-74.0758,Museo de la Independencia - Casa del Florero,Registro 51,Image;MovingImage,image/gif,N/A,"Celedón Pedraza, A. (2025). La bota perdida de la independencia [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_251-25",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3440,,,
